sender_email,sender_name,recipient_email,recipient_name,date_sent,subject
,,,,31 Oct 2002,URGENT BUSINESS ASSISTANCE AND PARTNERSHIP
,,,,31 Oct 2002,URGENT ASSISTANCE /RELATIONSHIP (P)
,,,,31 Oct 2002,GOOD DAY TO YOU
,,,,31 Oct 2002,GOOD DAY TO YOU
,,,,1 Nov 2002,I Need Your Assistance.
,,,,02 Nov 2002,Partnership
,,,,,Urgent Attention
,,,,3 Nov 2002,URGENT BUSINESS PRPOSAL
,,,,04 Nov 2002,THANK YOU
,,,,,Urgent Assistance
,,,,6 Nov 2001,IMPORTANT
,,,,08 Nov 2002,URGENT ASSISTANCE.
,,,,8 Nov 2002,Barrister Peter Brown
,,,,11 Nov 2002,MICHAEL
,,,,13 Nov 2001,*****SPAM***** IMPORTANT
,,,,14 Nov 2002,TRUST TRANSACTION
,,,,15 Nov 2002,REQUEST FOR YOUR UNRESERVED ASSISTANCE
,,,,15 Nov 2002,REQUEST FOR YOUR UNRESERVED ASSISTANCE
,,,,16 Nov 2002,Urgent Assistance
,,,,16 Nov 2002,Urgent Assistance
,,,,17 Nov 2002,URGENT BUSINESS PROPOSAL
,,,,,WANTED FOR Fawwaz Ulaby
,,,,20 Nov 2002,URGENT
,,,,20 Nov 2002,Offer
,,,,20 Nov 2002,URGENT
,,,,20 Nov 2002,URGENT
,,,,,BUSINESS RELATIONSHIP
,,,,,BUSINESS RELATIONSHIP
,,,,22 Nov 2002,REPLY NOW
,,,,23 Nov 2002,MICHAEL!
,,,,25 Nov 2002,Trustee
,,,,25 Nov 2002,urgent reply
,,,,25 Nov 2002,Request
,,,,26 Nov 2002,URGENT ASSISTANCE
,,,,27 Nov 2002,URGENT BUSINESS TRUSTEE
,,,,28 Nov 2002,STRICTLY CONFIDENTIAL & URGENT
,,,,30 Nov 2002,respond asap
,,,,03 Dec 2002,INHERITANCE CLAIM
,,,,04 Dec 2002,BUSINESS PROPOSAL
,,,,05 Dec 2002,BUSINESS PROPOSAL
,,,,6 Dec 2002,INVESTMENT BASED ON TRUST
,,,,5 Dec 2002,PARTNERSHIP
,,,,6 Dec 2002,ASSISTANCE
,,,,05 Dec 2002,BUSINESS PROPOSAL
,,,,09 Dec 2002,Inheritance Claim(Urgent Response)
,,,,9 Dec 2002,hi  friend
,,,,11 Dec 2002,ATTENTION
,,,,11 Dec 2002,ATTENTION
,,,,13 Dec 2002,URGENT ASSISTANCE NEEDED!
,,,,12 Dec 2002,please contact me
,,,,17 Dec 2002,KINDEST ATTENTION
,,,,24 Dec 2002,PRIVATE EMAIL MESSAGE
,,,,28 Dec 2002,Business Cooperation ( Inheritance Claim)
,,,,,Please email me now  !!!
,,,,,TRANSFER
,,,,,
,,,,4 Jan 2000,can you assit us ?
,,,,1 Jan 1999,URGENT
,,,,2 Jan 1999,URGENT
,,,,14 Jan 2003,Gooday
,,,,16 Jan 2003,ASSISTANCE NEEDED
,,,,16 Jan 2003,"hello rrrrr ,your attention needed"
,,,,16 Jan 2003,FAMILY BUSINESS ASSISTANCE
,,,,16 Jan 2003,ESTRADA
,,,,16 Jan 2003,URGENT
,,,,15 Jan 2003,A RELIABLE AND REPUTABLE PERSON 
,,,,16 Jan 2003,URGENT AND CONFIDENTIAL
,,,,17 Jan 2003,Urgent Assistance
,,,,17 Jan 2003,CONFIDENTIAL/COOPERATION
,,,,17 Jan 2003,CONFIDENTIAL/COOPERATION
,,,,17 Jan 2003,CONFIDENTIAL/COOPERATION
,,,,17 Jan 2003,CONFIDENTIAL/COOPERATION
,,,,18 Jan 2003,URGENT ASSISTANCE
,,,,1 Jan 1999,URGENT
,,,,18 Jan 2003,ESTRADA
,,,,19 Jan 2003,FROM Graham Douglas
,,,,20 Jan 2003,Request For Transfer Assistance
,,,,20 Jan 2003,Request For Transfer Assistance
,,,,20 Jan 2003,From:Savimbi Denis
,,,,,VERY IMPORTANT BUSINESS
,,,,21 Jan 2003,Introduction/Business Proposal
,,,,23 Jan 2003,MUTUAL BUSINESS RELATIONSHIP-STRICTLY CONFIDENTIAL
